,Navn,Latitude,Longitude,Lufttemperatur
502,ÅNDALSNES - KAMSHAUGEN,62.5643,7.672,[ 0.4 -0.7 -2.  ...  0.3  0.7 -0.6]
503,FILEFJELL - KYRKJESTØLANE,61.178,8.1125,[-3.9 -5.4 -8.6 ... -5.5 -5.4 -6.3]
504,SIGDAL - NEDRE EGGEDAL,60.1357919,9.4389611,[-10.2  -8.7  -7.9 ...  -7.5  -8.5  -9.3]
505,STRYN - KROKEN,61.9157,6.5585,[-0.1 -0.3 -0.4 ... -2.6 -3.3 -3.4]
506,NY-ÅLESUND,78.9218,11.9325,[-13.5 -11.4 -11.7 ...  -0.4   0.6   0.8]
507,RØROS LUFTHAVN,62.5781,11.3487,[-2.3 -3.2 -1.8 ... -4.5 -7.2 -8.7]
508,HEMSEDAL - HOLLEKOLTEN,60.8705,8.5175,[-0.8 -0.6 -1.  ... -4.4 -5.2 -6.5]
509,SKÅBU,61.5308,9.4023,[-5.  -4.7 -5.7 ... -7.7 -9.3 -8.8]
510,BARDUFOSS,69.0577,18.5437,[-19.6 -17.8 -17.  ...  -0.1  -0.7  -0.8]
511,SISOVATNET,67.3335,15.8282,[-18.  -18.  -16.1 ...  -3.1  -3.3  -4.1]
512,JANSSONHAUGEN VEST,78.18,16.41,[-13.9 -14.4 -14.7 ...  -2.9  -2.9  -2.3]
513,JUVVASSHØE,61.6775,8.369,[-10.1 -11.4 -13.4 ... -12.9 -13.7 -14.3]
514,NAMSVATN II,64.9608,13.5403,[-6.8 -7.4 -7.6 ... -2.1 -2.5 -3.2]
