,Navn,Latitude,Longitude,Lufttemperatur
138,OPPDAL - SÆTER,62.6027,9.666,[-1.7 -3.8 -1.7 ... -3.6 -4.9 -5.8]
139,RAMNES - KILE VESTRE,59.3808,10.2397,[-5.9 -2.  -1.9 ... -1.4 -3.9 -3.9]
140,LIER,59.7908,10.2598,[-6.  -5.5 -5.1 ... -4.  -4.3 -4.9]
141,HUSTADVATN,62.9087,7.2436,[ 0.2  0.   0.8 ...  0.1  1.  -0.2]
142,MALANGEN - PÅLFINNMOEN,69.414,18.6773,[-10.6 -11.8  -7.9 ...  -0.3  -0.8  -0.9]
143,TROMSØ,69.6537,18.9368,[-5.2 -4.4 -3.7 ...  0.7  0.5 -0.2]
144,GJERSTAD JERNBANESTASJON,58.87,9.0263,[-10.8 -10.9  -9.9 ...  -3.4  -3.8  -3.8]
145,SKISTUA,63.4182,10.2642,[-2.1 -2.7 -2.8 ... -3.7 -3.7 -3.7]
146,MØSVASSDAMMEN,59.8295,8.3265,[ 0.2  0.1 -0.6 ...  0.   0.   0. ]
147,TØNSBERG - KILEN,59.2782,10.4312,[-2.9 -2.8 -4.4 ... -1.4 -1.2 -2.3]
148,LEKNES LUFTHAVN,68.1557873,13.61214,[-5.8 -7.7 -8.2 ...  2.9  1.2  1.1]
149,SLÅTTERØY FYR,59.907,5.0668,[5.7 5.3 5.  ... 2.1 2.  1.4]
150,VATS I VINDAFJORD,59.4927,5.7208,[ 3.   2.8  3.3 ... -0.4 -0.7 -1.4]
151,SVARTTJØRNBEKKEN,63.3188,10.648,[-1.4 -2.  -3.6 ... -2.9 -2.8 -3. ]
152,UNDRUMSDAL,59.363,10.3672,[13.6 13.7 13.5 ...  0.   0.   0. ]
153,MANNDALEN - VADDJA,69.4722,20.5268,[-5.8 -4.9 -4.5 ...  1.2  1.6  1.4]
154,ROVERUD,60.2537,12.0913,[ -8.2  -9.3 -10.2 ...  -1.   -0.8  -1.8]
155,OPSTVEIT,59.8578,6.017,[8.6 8.7 9.  ... 0.  0.  0. ]
